category,count
parking meter,649
bus,600
truck,591
boat,578
person,577
car,574
motorbike,569
fire hydrant,557
stop sign,548
bench,547
traffic,547
light,531
bird,525
bicycle,510
train,501
snowboard,467
tie,461
aeroplane,458
remote,449
frisbee,429
microwave,426
broccoli,419
cat,412
book,406
cell phone,400
oven,399
clock,391
pizza,391
bed,379
sink,374
suitcase,367
hair drier,366
laptop,366
handbag,359
backpack,357
umbrella,351
vase,342
skis,340
chair,338
toilet,337
mouse,336
orange,336
toothbrush,325
donut,321
keyboard,321
scissors,310
toaster,309
sheep,309
sports ball,304
elephant,297
zebra,295
hot dog,288
dog,288
bear,287
carrot,282
sandwich,280
cow,279
giraffe,276
potted plant,272
teddy bear,267
cake,265
refrigerator,262
sofa,261
baseball bat,261
dining table,248
baseball glove,239
kite,232
horse,232
skateboard,226
apple,206
tvmonitor,168
tennis racket,168
bottle,161
surfboard,154
wine glass,150
bowl,147
banana,145
cup,144
spoon,138
fork,137
knife,135
